,Unnamed: 0,BrandName,Deatils,Sizes,MRPNum,SellPrice,DiscountPercentage,Category,inBudgetPrice,CustomerValue
137,25,insense,printed cotton blend womens hipster briefs - multi,"Size:Large,Medium,Small,X-Large,XX-Large",3.99,1.19,0.7,Lingerie&Nightwear-Women,4,4
138,10,altlife,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
139,5,altlife,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
140,14,altlife,printed cotton round neck womens active wear t-shirt - ocean,"Size:Large,Medium,Small,X-Large,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
141,20,insense,half sleeves night wear womens t-shirt - navy,"Size:Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
142,20,life,solid cotton round neck womens active wear t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
143,17,altlife,solid cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
144,6,altlife,solid cotton round neck womens active wear t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
145,16,altlife,printed cotton round neck womens active wear t-shirt - berry,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
146,7,insense,half sleeves night wear womens t-shirt - blush,"Size:Large,Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
147,20,altlife,printed cotton round neck womens active wear t-shirt - fuschia,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
148,9,altlife,printed cotton round neck womens active wear t-shirt - anthra,"Size:Large,Medium,Small,X-Large,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
149,5,infuse,solid cotton round neck womens regular fit t-shirt - grey melange,"Size:Large,Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
150,13,life,printed cotton round neck womens active wear t-shirt - blush,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
151,17,altlife,printed cotton round neck womens active wear t-shirt - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
152,19,life,solid cotton round neck womens active wear t-shirt - ocean,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
153,24,insense,solid cotton round neck womens regular fit top - blush,"Size:Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
154,20,insense,printed cotton round neck womens t-shirt - peach,"Size:Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
155,24,insense,half sleeves night wear womens t-shirt - pale yellow,"Size:Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
156,19,altlife,printed cotton round neck womens active wear t-shirt - plum,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
157,20,life,printed cotton round neck womens regular t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
158,5,life,printed cotton blend round neck womens active wear t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
159,3,insense,half sleeves night wear womens t-shirt - navy,"Size:Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
160,7,life,printed cotton round neck womens active wear t-shirt - lime green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
161,23,life,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
162,8,life,printed cotton round neck womens active wear t-shirt - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
163,6,altlife,printed cotton round neck womens active wear t-shirt - aubergine,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
164,6,altlife,solid cotton round neck womens active wear t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
165,2,life,printed cotton round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
166,13,altlife,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
167,2,insense,printed cotton round neck womens regular fit t-shirt - rust,Size:X-Small,3.99,1.99,0.5,Westernwear-Women,4,4
168,17,life,solid cotton round neck womens regular t-shirt - olive,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
169,9,altlife,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
170,2,altlife,printed cotton round neck womens active wear t-shirt - plum,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
171,13,infuse,solid cotton round neck womens regular fit t-shirt - pink,"Size:Large,Medium,Small,X-Large,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
172,16,altlife,printed cotton round neck womens active wear t-shirt - aubergine,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
173,1,life,printed cotton round neck womens regular t-shirt - mint,"Size:Large,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
174,9,insense,womens  round neck  printed t-shirt - peach,"Size:Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
175,0,insense,half sleeves night wear womens t-shirt - grey melange,"Size:Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
176,8,altlife,printed cotton round neck womens active wear t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
177,8,life,printed cotton round neck womens regular t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
178,4,life,printed cotton round neck womens regular t-shirt - grey melange,"Size:Large,Small,X-Large,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
179,5,life,printed cotton round neck womens regular t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
180,2,life,solid cotton round neck womens regular t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
181,3,life,solid cotton round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
182,20,insense,half sleeves night wear womens t-shirt - blush,"Size:Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
183,11,insense,half sleeves night wear womens t-shirt - blush,"Size:Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
184,3,insense,half sleeves night wear womens t-shirt - olive,"Size:Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
185,4,altlife,printed cotton round neck womens active wear t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
186,10,altlife,printed cotton round neck womens active wear t-shirt - ecru,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
187,23,life,printed cotton round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
188,11,infuse,solid cotton round neck womens regular fit t-shirt - lavender,"Size:Medium,Small",3.99,1.99,0.5,Westernwear-Women,4,4
189,1,life,printed cotton round neck womens regular t-shirt - off white,"Size:Large,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
190,13,insense,womens  round neck  stripe t-shirt - navy,"Size:Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
191,12,life,solid cotton round neck womens regular t-shirt - blush,"Size:Large,Medium,Small,X-Large,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
192,25,altlife,printed cotton round neck womens active wear t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
193,17,insense,womens  round neck  stripe t-shirt - olive,"Size:Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
194,10,altlife,printed cotton regular neck womens t-shirt - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
195,21,infuse,solid cotton round neck womens regular fit t-shirt - navy,"Size:Large,Medium",3.99,1.99,0.5,Westernwear-Women,4,4
196,15,insense,half sleeves night wear womens t-shirt - black,"Size:Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
197,7,infuse,solid cotton round neck womens regular fit t-shirt - black,Size:Small,3.99,1.99,0.5,Westernwear-Women,4,4
198,1,insense,womens  round neck  printed t-shirt - black,"Size:Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
199,4,life,printed cotton round neck womens active wear t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
200,2,insense,womens  round neck  printed t-shirt - pink,"Size:Medium,Small",3.99,1.99,0.5,Westernwear-Women,4,4
201,23,life,printed cotton round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3.99,1.99,0.5,Westernwear-Women,4,4
202,10,insense,half sleeves night wear womens t-shirt - pink,"Size:Medium,Small,X-Small",3.99,1.99,0.5,Westernwear-Women,4,4
