,BrandName,Deatils,Sizes,MRPNum,SellPrice,DiscountPercentage,Category
17,altlife,solid cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
6,altlife,solid cotton round neck womens active wear t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
16,altlife,printed cotton round neck womens active wear t-shirt - berry,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
7,insense,half sleeves night wear womens t-shirt - blush,"Size:Large,Medium,Small,X-Small",399,199,0.5,Westernwear-Women
20,altlife,printed cotton round neck womens active wear t-shirt - fuschia,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
9,altlife,printed cotton round neck womens active wear t-shirt - anthra,"Size:Large,Medium,Small,X-Large,X-Small",399,199,0.5,Westernwear-Women
5,infuse,solid cotton round neck womens regular fit t-shirt - grey melange,"Size:Large,Medium,Small,X-Small",399,199,0.5,Westernwear-Women
13,life,printed cotton round neck womens active wear t-shirt - blush,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
17,altlife,printed cotton round neck womens active wear t-shirt - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
19,life,solid cotton round neck womens active wear t-shirt - ocean,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
24,insense,solid cotton round neck womens regular fit top - blush,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
20,insense,printed cotton round neck womens t-shirt - peach,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
24,insense,half sleeves night wear womens t-shirt - pale yellow,"Size:Medium,Small,X-Small",399,199,0.5,Westernwear-Women
19,altlife,printed cotton round neck womens active wear t-shirt - plum,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
20,life,printed cotton round neck womens regular t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
5,life,printed cotton blend round neck womens active wear t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
3,insense,half sleeves night wear womens t-shirt - navy,"Size:Medium,Small,X-Small",399,199,0.5,Westernwear-Women
7,life,printed cotton round neck womens active wear t-shirt - lime green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
23,life,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
8,life,printed cotton round neck womens active wear t-shirt - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
6,altlife,printed cotton round neck womens active wear t-shirt - aubergine,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
6,altlife,solid cotton round neck womens active wear t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
2,life,printed cotton round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
13,altlife,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
2,insense,printed cotton round neck womens regular fit t-shirt - rust,Size:X-Small,399,199,0.5,Westernwear-Women
17,life,solid cotton round neck womens regular t-shirt - olive,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
9,altlife,printed cotton round neck womens active wear t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
2,altlife,printed cotton round neck womens active wear t-shirt - plum,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
13,infuse,solid cotton round neck womens regular fit t-shirt - pink,"Size:Large,Medium,Small,X-Large,XX-Large",399,199,0.5,Westernwear-Women
16,altlife,printed cotton round neck womens active wear t-shirt - aubergine,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
1,life,printed cotton round neck womens regular t-shirt - mint,"Size:Large,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
9,insense,womens  round neck  printed t-shirt - peach,"Size:Medium,Small,X-Small",399,199,0.5,Westernwear-Women
0,insense,half sleeves night wear womens t-shirt - grey melange,"Size:Medium,Small,X-Small",399,199,0.5,Westernwear-Women
8,altlife,printed cotton round neck womens active wear t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
8,life,printed cotton round neck womens regular t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
4,life,printed cotton round neck womens regular t-shirt - grey melange,"Size:Large,Small,X-Large,X-Small",399,199,0.5,Westernwear-Women
5,life,printed cotton round neck womens regular t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",399,199,0.5,Westernwear-Women
2,life,solid cotton round neck womens regular t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
3,life,solid cotton round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
20,insense,half sleeves night wear womens t-shirt - blush,"Size:Medium,Small,X-Small",399,199,0.5,Westernwear-Women
11,insense,half sleeves night wear womens t-shirt - blush,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
3,insense,half sleeves night wear womens t-shirt - olive,"Size:Medium,Small,X-Small",399,199,0.5,Westernwear-Women
4,altlife,printed cotton round neck womens active wear t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
10,altlife,printed cotton round neck womens active wear t-shirt - ecru,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
23,life,printed cotton round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
11,infuse,solid cotton round neck womens regular fit t-shirt - lavender,"Size:Medium,Small",399,199,0.5,Westernwear-Women
1,life,printed cotton round neck womens regular t-shirt - off white,"Size:Large,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
13,insense,womens  round neck  stripe t-shirt - navy,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
12,life,solid cotton round neck womens regular t-shirt - blush,"Size:Large,Medium,Small,X-Large,XX-Large",399,199,0.5,Westernwear-Women
25,altlife,printed cotton round neck womens active wear t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
17,insense,womens  round neck  stripe t-shirt - olive,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
10,altlife,printed cotton regular neck womens t-shirt - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
21,infuse,solid cotton round neck womens regular fit t-shirt - navy,"Size:Large,Medium",399,199,0.5,Westernwear-Women
15,insense,half sleeves night wear womens t-shirt - black,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
7,infuse,solid cotton round neck womens regular fit t-shirt - black,Size:Small,399,199,0.5,Westernwear-Women
1,insense,womens  round neck  printed t-shirt - black,"Size:Medium,Small,X-Small",399,199,0.5,Westernwear-Women
